artist,song
Paul Russell,Lil Boo Thang
Jimmy Fallon & Meghan Trainor,Wrap Me Up
Jack Harlow,Lovin On Me
Drew Holcomb & The Neighbors,Find Your People
Cher,DJ Play A Christmas Song
Zach Bryan,I Remember Everything (feat. Kacey Musgraves)
Chris Stapleton,White Horse
Jelly Roll,Save Me (with Lainey Wilson)
Jelly Roll,Need A Favor
Jung Kook,Standing Next to You
Dua Lipa,Houdini
Taylor Swift,Cruel Summer
Austin Williams,90s Rap Mashup
Teddy Swims,Lose Control
Jung Kook & Jack Harlow,3D
Mariah Carey,All I Want for Christmas Is You
Chicago,You're the Inspiration
Trans-Siberian Orchestra,Christmas / Sarajevo 12/24 (Instrumental)
Jung Kook,Standing Next to You (Band Version)
Morgan Wallen,Thinkin’ Bout Me
Jung Kook,Standing Next to You (Future Funk Remix)
"The Philly Specials, Jason Kelce & Travis Kelce",Fairytale Of Philadelphia
Luke Combs,Where the Wild Things Are
Jung Kook,Standing Next to You (PBR&B Remix)
David Kushner,Daylight
Jung Kook,Standing Next to You (Slow Jam Remix)
Jung Kook,Standing Next to You (Holiday Remix)
Jung Kook,Standing Next to You (Latin Trap Remix)
Jung Kook,Standing Next to You (Instrumental)
Doja Cat,Paint The Town Red
Luke Combs,Fast Car
Drew Holcomb & The Neighbors,Find Your People
Brenda Lee,Rockin' Around the Christmas Tree (Single)
Morgan Wallen,Last Night
Tyla,Water
Jack Harlow,Lovin On Me
The Beatles,Now And Then
Adam Sandler,The Thanksgiving Song
Tate McRae,greedy
Taylor Swift,Lover
Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault]
Oliver Anthony Music,Rich Men North of Richmond
Dolly Parton,Let It Be (feat. Paul McCartney & Ringo Starr)
Matthew West,Gobble Gobble
Dax,To Be A Man (feat. Darius Rucker)
En Vogue,Free Your Mind
Jung Kook & Latto,Seven (Explicit Ver.)
"Nat ""King"" Cole",The Christmas Song (Merry Christmas to You)
Caldwell,Flyin' Pass (Single)
Miley Cyrus,Used To Be Young
Warren Zeiders,Sin So Sweet
Jessie Murph & Jelly Roll,Wild Ones (Extended Version)
"The Philly Specials, Jason Kelce & Travis Kelce",Fairytale Of Philadelphia
Miley Cyrus,Flowers
*NSYNC & Justin Timberlake,Better Place (From TROLLS Band Together)
Cody Johnson,The Painter
Dolly Parton,Night Moves (feat. Chris Stapleton)
Chris Stapleton,Tennessee Whiskey
Dolly Parton,Wrecking Ball (feat. Miley Cyrus)
Sia,Snowman
Bad Bunny,MONACO
Dolly Parton,World On Fire
Taylor Swift,Anti-Hero
Dolly Parton,Purple Rain
Taylor Swift,Love Story (Taylor’s Version)
Taylor Swift,Karma
Taylor Swift,Don’t Blame Me
Wham!,Last Christmas (Single Version)
Jelly Roll,Save Me
Walker Hayes,Fancy Like Christmas
Dolly Parton,Rockstar
Cody Johnson,Dirt Cheap
Dolly Parton,Open Arms (feat. Steve Perry)
