cluster,song_artist
4,If I Ever Feel Better by Phoenix
3,Dance To The Underground by Radio 4
16,How We Do by Mount Sims
5,Fuck the Pain Away by Peaches
4,Street Surgery 2 by Zongamin
6,Emerge by Fischerspooner
1,Such Great Heights by The Postal Service
10,The District Sleeps Alone Tonight by The Postal Service
5,Sleepin In by The Postal Service
16,Danger! High Voltage - Soulchild Radio Mix by Electric Six
1,Gay Bar by Electric Six
12,We Don't Care by Audio Bullys
18,Good Luck by Basement Jaxx
18,Good Luck by Lisa Kekaula
18,Dirge by Death In Vegas
19,Girls by Death In Vegas
10,Club Foot by Kasabian
19,Huddle Formation by The Go! Team
17,La ritournelle by Sébastien Tellier
19,Cherry Blossom Girl by Air
5,Day Job by The Fitness
1,Meantime by The Futureheads
1,Hounds of Love by The Futureheads
17,At the River by Groove Armada
5,I Disappear by The Faint
6,Tell Me Does She Love The Bass by Lesbians On Ecstasy
0,Teen Angst by M83
10,Galvanize by The Chemical Brothers
18,Finding out True Love Is Blind - Album/EP Version by Louis XIV
18,Finding out True Love Is Blind - Album/EP Version by Jason Hill
18,Finding out True Love Is Blind - Album/EP Version by Brian Karscig
6,Robot Rock by Daft Punk
6,How Long by Out Hud
16,Banquet by Bloc Party
1,Helicopter by Bloc Party
1,This Modern Love by Bloc Party
3,Never Win by Fischerspooner
1,Frenchy I'm Faking by Architecture In Helsinki
1,Apart by Elkland
1,Apply Some Pressure by Maximo Park
16,Love + Pain by Clor
3,All Night Disco Party by Brakes
0,Rock & Roll Queen by The Subways
3,Middle of Nowhere by Hot Hot Heat
16,Jacques Your Body (Make Me Sweat) - Radio Edit by Les Rythmes Digitales
16,Riot Radio by The Dead 60s
18,Do You Want To by Franz Ferdinand
1,Boa Vs Python by Test Icicles
18,Tear You Apart by She Wants Revenge
12,Over And Over by Hot Chip
5,Without You by Elkland
3,Budapest by Poni Hoax
3,Budapest by Olga Kouklaki
12,Monster by The Automatic Automatic
3,Standing In the Way of Control by Gossip
1,"Nobody Move, Nobody Get Hurt by We Are Scientists"
18,Love Like Semtex by Infadels
1,Gold Lion by Yeah Yeah Yeahs
10,The Treatment by Dead Disco
5,I Am The Night Before by Kissogram
6,Ankle Injuries by Fujiya & Miyagi
1,Stutter by Kubichek!
5,Boys Wanna Be Her by Peaches
16,Let's Make Love and Listen to Death From Above by CSS
0,Alala by CSS
16,"Music Is My Hot, Hot Sex by CSS"
1,Suzie by Boy Kill Boy
16,We Are Your Friends - Justice Vs Simian by Justice
16,We Are Your Friends - Justice Vs Simian by Simian
6,Loud Pipes by Ratatat
5,Wildcat by Ratatat
19,Don't Give Up by The Whitest Boy Alive
6,Burning by The Whitest Boy Alive
5,Pride Before the Fall by The KBC
1,Automatic by Dead Disco
1,Wolf Like Me by TV On The Radio
3,Pieces Of The People We Love by The Rapture
3,I Don't Feel Like Dancin' by Scissor Sisters
5,I Can't Decide by Scissor Sisters
9,I'm On Fire by Chromatics
12,Drop The Decade by Shut Your Eyes And You'll Burst Into Flames
16,That’s What She Said by The Automatic
3,Le Disko by Shiny Toy Guns
4,Walking Machine - Sebastian Remix by Revl9n
3,Heartbeats by The Knife
0,Embrace by PNAU
1,Dr Love by Bumblebeez
10,When You Leave by Maps
6,Rainbow Man by Busy P
17,Blind - Frankie Knuckles Remix by Hercules & Love Affair
18,With You Forever by PNAU
1,It's Not Over Yet by Klaxons
16,Baby by PNAU
10,Come Together by PNAU
16,Pony by Teenager
3,We Were Born The Mutants Again With Leafling by of Montreal
1,Cato As A Pun by of Montreal
5,Young Folks by Peter Bjorn and John
0,Ruby by Kaiser Chiefs
17,All My Friends by LCD Soundsystem
3,Someone Great by LCD Soundsystem
18,A Strange Education by The Cinematics
10,Books From Boxes by Maximo Park
16,Our Velocity by Maximo Park
1,Four Horsemen Of 2012 by Klaxons
1,Dream Of Infinity by Shitdisco
14,See The Blood by Black Wire
18,Pogo by Digitalism
13,Digitalism In Cairo by Digitalism
12,Men's Needs by The Cribs
13,You Made Me Like It by 1990s
0,Astronaut by Shy Child
1,First Love by The Maccabees
1,Believe by The Bravery
5,Solta O Frango by Bonde Do Role
6,I’m A Man by Black Strobe
18,D.A.N.C.E. by Justice
1,Surrender by (We Are) Performance
18,Let's Dance to Joy Division by The Wombats
13,La Verite by Vive La Fête
6,Waterwater by Jakobínarína
18,Paper Planes by M.I.A.
5,Bring On The Comets by VHS or Beta
3,Je veux te voir by Yelle
3,Ce jeu by Yelle
18,Grip Like A Vice by The Go! Team
3,I Believe by Simian Mobile Disco
3,Stripper by Sohodolls
5,London Scene? by Twisted Charm
0,Less Talk More Rokk by Freezepop
3,Ice Cream by Muscles
16,Think Fast by Bolt Action Five
12,Overpowered by Róisín Murphy
15,Japanese Girl - Eskimo Disco Vs Fred Falke Radio Remix by Eskimo Disco
1,Wonderland by Winterkids
6,Milk Crisis by The Go! Team
1,Fear And Fluoride by Dead Kids
6,Drop The Phone by Shy Child
12,Architechs of Discotech by Glamour For Better
1,"tell me, computer by to my boy"
17,Paris (Aeroplane Remix) by Friendly Fires
1,Bruises by Chairlift
18,The Knife: Heartbeats - Rex The Dog Remix by Rex The Dog
4,Jerk It by Thunderheist
1,You! Me! Dancing! by Los Campesinos!
5,Skeleton Boy by Friendly Fires
1,Jump In The Pool by Friendly Fires
19,Halo by Bloc Party
6,Hearts On Fire by Cut Copy
12,Ready For The Floor by Hot Chip
5,Mr Understanding by Pete And The Pirates
